flight_id,date,carrier,flight_number,tail_number,origin,dest,sched_dep_local,delay_probability,risk_band,predicted_delayed_15,top_reason,reason_details,recommended_action,actual_delayed_15,actual_dep_delay_min,actual_delay_cause
2015-01-08_MQ2945,2015-01-08,MQ,2945,N610MQ,ORD,SUX,19:20,0.9967,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (1.49),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3468,2015-01-08,MQ,3468,N619MQ,ORD,BMI,16:15,0.9967,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.57),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-05_MQ3107,2015-01-05,MQ,3107,N519MQ,ORD,GRR,21:00,0.9965,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,152.0,late_aircraft
2015-01-08_MQ2986,2015-01-08,MQ,2986,N514MQ,ORD,DTW,16:10,0.9963,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3274,2015-01-08,MQ,3274,N670MQ,ORD,CVG,15:30,0.9963,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3192,2015-01-08,MQ,3192,N617MQ,ORD,GRR,15:25,0.9962,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_AA2346,2015-01-05,AA,2346,N3DCAA,ORD,DCA,22:05,0.9958,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Congested departure bank (0.59); Weather pressure at origin (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,206.0,weather
2015-01-05_AA2382,2015-01-05,AA,2382,N3LYAA,ORD,DFW,22:20,0.9957,high,1,Weather pressure at origin,Weather pressure at origin (5.55); Congested departure bank (0.59); Weather pressure at origin (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,140.0,weather
2015-01-05_MQ2762,2015-01-05,MQ,2762,N612MQ,ORD,CMI,21:25,0.9957,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_MQ3052,2015-01-08,MQ,3052,N675MQ,ORD,FNT,15:10,0.9957,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ2992,2015-01-08,MQ,2992,N851MQ,ORD,IND,16:45,0.9957,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3280,2015-01-08,MQ,3280,N682MQ,ORD,RST,20:05,0.9955,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Destination/network pattern: RST (0.82),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,54.0,nas
2015-01-08_MQ3689,2015-01-08,MQ,3689,N603MQ,ORD,CVG,16:15,0.9954,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,277.0,late_aircraft
2015-01-08_MQ3297,2015-01-08,MQ,3297,N636MQ,ORD,TOL,16:45,0.9951,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_MQ3344,2015-01-05,MQ,3344,N602MQ,ORD,FWA,21:45,0.9951,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.71),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_MQ3046,2015-01-08,MQ,3046,N900MQ,ORD,DBQ,15:40,0.995,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,145.0,weather
2015-01-08_MQ3087,2015-01-08,MQ,3087,N0EGMQ,ORD,XNA,15:00,0.9949,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,260.0,late_aircraft
2015-01-11_MQ3280,2015-01-11,MQ,3280,N640MQ,ORD,RST,20:05,0.9947,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Destination/network pattern: RST (0.82),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,87.0,nas
2015-01-08_MQ3695,2015-01-08,MQ,3695,N626MQ,ORD,MHK,19:40,0.9945,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.95),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_MQ3013,2015-01-05,MQ,3013,N623MQ,ORD,CVG,21:05,0.9943,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,26.0,weather
2015-01-11_MQ2975,2015-01-11,MQ,2975,N696MQ,ORD,HSV,20:20,0.994,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Destination/network pattern: HSV (0.47),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,184.0,carrier
2015-01-05_MQ3139,2015-01-05,MQ,3139,N636MQ,ORD,DBQ,21:50,0.994,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_MQ2975,2015-01-08,MQ,2975,N663MQ,ORD,HSV,20:20,0.9938,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.67),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3469,2015-01-08,MQ,3469,N638MQ,ORD,FSD,15:25,0.9938,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3060,2015-01-08,MQ,3060,N653MQ,ORD,LSE,16:30,0.9937,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-11_MQ2945,2015-01-11,MQ,2945,N694MQ,ORD,SUX,19:20,0.9936,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Destination/network pattern: SUX (0.40),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_MQ3078,2015-01-05,MQ,3078,N531MQ,ORD,SYR,21:45,0.9936,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_MQ2904,2015-01-08,MQ,2904,N809MQ,ORD,RIC,15:25,0.9935,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_MQ3306,2015-01-05,MQ,3306,N637MQ,ORD,TOL,21:50,0.9934,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,60.0,nas
2015-01-08_UA1762,2015-01-08,UA,1762,N14704,ORD,SMF,15:26,0.9933,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Destination/network pattern: SMF (0.86); Carrier operating pattern: UA (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,78.0,weather
2015-01-08_EV6172,2015-01-08,EV,6172,N13118,ORD,GRR,16:14,0.9932,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Late inbound aircraft cascade (1.14); Carrier operating pattern: EV (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3605,2015-01-08,MQ,3605,N617MQ,ORD,FWA,16:15,0.9932,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-05_MQ2876,2015-01-05,MQ,2876,N815MQ,ORD,LEX,20:45,0.9932,high,1,Carrier operating pattern: MQ,Carrier operating pattern: MQ (1.96); Weather pressure at origin (1.29); Late inbound aircraft cascade (0.92),Review carrier-controlled turnaround tasks and crew readiness.,1.0,143.0,weather
2015-01-08_UA1102,2015-01-08,UA,1102,N68452,ORD,PDX,17:06,0.9932,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Late inbound aircraft cascade (1.65); Destination/network pattern: PDX (0.74),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,119.0,weather
2015-01-11_MQ3152,2015-01-11,MQ,3152,N637MQ,ORD,AZO,20:40,0.9931,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.95),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3100,2015-01-08,MQ,3100,N625MQ,ORD,MSN,15:00,0.9931,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-05_MQ3019,2015-01-05,MQ,3019,N620MQ,ORD,OKC,21:56,0.9924,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_UA459,2015-01-08,UA,459,N431UA,ORD,DEN,16:31,0.9922,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Late inbound aircraft cascade (0.50),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,63.0,nas
2015-01-05_MQ3233,2015-01-05,MQ,3233,N544MQ,ORD,XNA,20:40,0.9922,high,1,Carrier operating pattern: MQ,Carrier operating pattern: MQ (1.96); Weather pressure at origin (1.29); Late inbound aircraft cascade (1.17),Review carrier-controlled turnaround tasks and crew readiness.,,,carrier
2015-01-08_UA1411,2015-01-08,UA,1411,N73860,ORD,DEN,15:00,0.9921,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Late inbound aircraft cascade (0.47),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,208.0,late_aircraft
2015-01-05_MQ2825,2015-01-05,MQ,2825,N644MQ,ORD,CID,21:15,0.9921,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,213.0,weather
2015-01-05_UA1201,2015-01-05,UA,1201,N23707,ORD,BOS,21:10,0.9919,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Late inbound aircraft cascade (0.84); Carrier operating pattern: UA (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,330.0,late_aircraft
2015-01-08_MQ3048,2015-01-08,MQ,3048,N694MQ,ORD,CMI,17:00,0.9919,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.77),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_MQ3084,2015-01-05,MQ,3084,N621MQ,ORD,CMH,21:30,0.9918,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,115.0,weather
2015-01-11_MQ3695,2015-01-11,MQ,3695,N655MQ,ORD,MHK,19:40,0.9918,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Destination/network pattern: MHK (0.41),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_EV3940,2015-01-08,EV,3940,N11187,ORD,DTW,16:06,0.9914,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Late inbound aircraft cascade (0.87); Carrier operating pattern: EV (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-11_MQ3673,2015-01-11,MQ,3673,N931MQ,ORD,CMI,20:35,0.9913,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.45),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,50.0,nas
2015-01-05_MQ3152,2015-01-05,MQ,3152,N653MQ,ORD,AZO,20:40,0.9912,high,1,Carrier operating pattern: MQ,Carrier operating pattern: MQ (1.96); Weather pressure at origin (1.29); Late inbound aircraft cascade (1.22),Review carrier-controlled turnaround tasks and crew readiness.,,,carrier
2015-01-05_MQ3037,2015-01-05,MQ,3037,N658MQ,ORD,PIA,21:15,0.9911,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-11_MQ3039,2015-01-11,MQ,3039,N637MQ,ORD,ALO,20:10,0.9911,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.45),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,155.0,weather
2015-01-05_MQ2808,2015-01-05,MQ,2808,N610MQ,ORD,GRB,21:05,0.9911,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,0.0,7.0,nas
2015-01-08_MQ2950,2015-01-08,MQ,2950,N671MQ,ORD,RST,11:45,0.9908,high,1,Late inbound aircraft cascade,Late inbound aircraft cascade (2.16); Carrier operating pattern: MQ (1.96); Destination/network pattern: RST (0.82),"Check inbound aircraft status, protect the turn, and consider an aircraft swap if the delay grows.",,,weather
2015-01-11_MQ2933,2015-01-11,MQ,2933,N671MQ,ORD,EVV,20:15,0.9907,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.45),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,47.0,nas
2015-01-08_MQ2951,2015-01-08,MQ,2951,N510MQ,ORD,DSM,17:45,0.9906,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (1.70),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-11_MQ3174,2015-01-11,MQ,3174,N527MQ,ORD,LIT,21:55,0.9905,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Destination/network pattern: LIT (0.72),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,91.0,weather
2015-01-05_OO5351,2015-01-05,OO,5351,N752SK,ORD,CMX,21:20,0.9905,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Late inbound aircraft cascade (0.61); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3025,2015-01-08,MQ,3025,N604MQ,ORD,DSM,16:25,0.9905,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ2970,2015-01-08,MQ,2970,N694MQ,ORD,FAR,15:00,0.9904,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: MQ (1.96); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,145.0,weather
2015-01-08_EV5998,2015-01-08,EV,5998,N11539,ORD,LIT,16:35,0.9899,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Destination/network pattern: LIT (0.72); Carrier operating pattern: EV (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,263.0,late_aircraft
2015-01-05_MQ3039,2015-01-05,MQ,3039,N699MQ,ORD,ALO,20:10,0.9894,high,1,Carrier operating pattern: MQ,Carrier operating pattern: MQ (1.96); Weather pressure at origin (1.29); Congested departure bank (0.45),Review carrier-controlled turnaround tasks and crew readiness.,,,carrier
2015-01-08_UA1412,2015-01-08,UA,1412,N73251,ORD,OMA,15:14,0.989,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Late inbound aircraft cascade (0.35),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,61.0,weather
2015-01-08_OO2638,2015-01-08,OO,2638,N955SW,ORD,ICT,16:30,0.9888,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Late inbound aircraft cascade (0.49); Carrier operating pattern: OO (0.45),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_EV3266,2015-01-08,EV,3266,N11539,ORD,DAY,16:14,0.9885,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Late inbound aircraft cascade (0.93); Carrier operating pattern: EV (0.34),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-05_MQ2873,2015-01-05,MQ,2873,N618MQ,ORD,CMI,20:35,0.9884,high,1,Carrier operating pattern: MQ,Carrier operating pattern: MQ (1.96); Weather pressure at origin (1.29); Congested departure bank (0.45),Review carrier-controlled turnaround tasks and crew readiness.,,,carrier
2015-01-11_MQ3319,2015-01-11,MQ,3319,N857MQ,ORD,CMI,19:05,0.9882,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.38),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,43.0,nas
2015-01-05_MQ2975,2015-01-05,MQ,2975,N619MQ,ORD,HSV,20:35,0.9882,high,1,Carrier operating pattern: MQ,Carrier operating pattern: MQ (1.96); Weather pressure at origin (1.29); Destination/network pattern: HSV (0.47),Review carrier-controlled turnaround tasks and crew readiness.,,,carrier
2015-01-11_MQ3107,2015-01-11,MQ,3107,N505MQ,ORD,GRR,21:10,0.9881,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Congested departure bank (0.52),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,63.0,nas
2015-01-11_MQ3676,2015-01-11,MQ,3676,N809MQ,ORD,LEX,19:10,0.9879,high,1,Weather pressure at origin,Weather pressure at origin (2.71); Carrier operating pattern: MQ (1.96); Congested departure bank (0.38),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,0.0,0.0,nas
2015-01-08_MQ2997,2015-01-08,MQ,2997,N520MQ,ORD,BNA,19:05,0.9875,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.76),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,weather
2015-01-08_MQ3133,2015-01-08,MQ,3133,N698MQ,ORD,EVV,17:15,0.9875,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (0.40),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ2959,2015-01-08,MQ,2959,N646MQ,ORD,FAR,20:30,0.9874,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Late inbound aircraft cascade (1.14),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_MQ3118,2015-01-08,MQ,3118,N544MQ,ORD,MDT,13:50,0.9874,high,1,Weather pressure at origin,Weather pressure at origin (2.00); Carrier operating pattern: MQ (1.96); Destination/network pattern: MDT (0.66),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,nas
2015-01-08_UA681,2015-01-08,UA,681,,ORD,SFO,15:22,0.9873,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,,,carrier
2015-01-08_UA1067,2015-01-08,UA,1067,N37427,ORD,BOS,16:15,0.9872,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,37.0,weather
2015-01-08_UA1290,2015-01-08,UA,1290,N68811,ORD,IAH,15:41,0.9871,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Late inbound aircraft cascade (0.39),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,138.0,late_aircraft
2015-01-08_UA686,2015-01-08,UA,686,N808UA,ORD,LGA,15:00,0.9868,high,1,Weather pressure at origin,Weather pressure at origin (4.13); Carrier operating pattern: UA (0.52); Origin airport pattern: ORD (0.29),Brief the hub desk on weather exposure and prepare ground handling or de-icing mitigation.,1.0,19.0,nas
